               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.014217,           0.0093037,           0.0062442,             0.96265,             0.95502,             0.96637,             0.82382,           0.0058511,           0.0031424,           0.0010919,           0.0092278,           0.0092278,           0.0092278
                  80,            0.014178,           0.0092755,           0.0065381,             0.95914,             0.95723,             0.96692,             0.82415,           0.0058919,           0.0031321,           0.0012279,           0.0092179,           0.0092179,           0.0092179
                  81,            0.013643,           0.0092536,           0.0058863,             0.95996,             0.95538,             0.96689,             0.82556,           0.0059077,           0.0031223,           0.0014736,            0.009208,            0.009208,            0.009208
                  82,            0.013823,           0.0093746,           0.0063009,             0.96019,             0.96013,             0.96763,             0.82788,           0.0059624,           0.0031391,           0.0011876,           0.0091981,           0.0091981,           0.0091981
                  83,            0.014217,           0.0093339,           0.0062638,             0.95967,             0.95476,             0.96751,             0.82871,            0.005856,           0.0031317,           0.0011194,           0.0091882,           0.0091882,           0.0091882
                  84,            0.014212,           0.0093038,           0.0067407,              0.9598,             0.95901,             0.96816,             0.82982,           0.0058876,           0.0031225,           0.0008552,           0.0091783,           0.0091783,           0.0091783
                  85,            0.013524,           0.0091509,           0.0062442,              0.9624,             0.95555,             0.96953,             0.82942,           0.0059654,           0.0031181,          0.00072353,           0.0091684,           0.0091684,           0.0091684
                  86,            0.013825,            0.009296,           0.0062682,              0.9617,             0.95837,             0.96868,              0.8312,           0.0059304,           0.0031108,          0.00072666,           0.0091585,           0.0091585,           0.0091585
                  87,            0.014157,           0.0095256,           0.0067075,             0.96462,             0.95671,             0.96795,             0.83148,           0.0057996,            0.003099,          0.00071766,           0.0091486,           0.0091486,           0.0091486
                  88,            0.013961,             0.00933,           0.0069087,             0.96343,             0.95537,             0.96744,             0.83158,           0.0058125,           0.0030979,          0.00064597,           0.0091387,           0.0091387,           0.0091387
